tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0002130,movie,Dante's Inferno,L'inferno,0,1911,\N,71,"Adventure,Drama,Fantasy",7.0,3516
tt0002423,movie,Passion,Madame DuBarry,0,1919,\N,113,"Biography,Drama,Romance",6.6,1015
tt0002844,movie,Fantômas: In the Shadow of the Guillotine,Fantômas - À l'ombre de la guillotine,0,1913,\N,54,"Crime,Drama",6.9,2507
tt0003014,movie,Ingeborg Holm,Ingeborg Holm,0,1913,\N,96,Drama,7.0,1441
tt0003037,movie,Fantomas: The Man in Black,Juve contre Fantômas,0,1913,\N,61,"Crime,Drama",6.9,1697
tt0003165,movie,Fantômas: The Dead Man Who Killed,Le mort qui tue,0,1913,\N,90,"Crime,Drama,Mystery",6.9,1342
tt0003419,movie,The Student of Prague,Der Student von Prag,0,1913,\N,85,"Drama,Fantasy,Horror",6.4,2424
tt0003643,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill',0,1914,\N,78,"Crime,Drama,Horror",6.4,1436
tt0003740,movie,Cabiria,Cabiria,0,1914,\N,148,"Adventure,Drama,History",7.1,3985
tt0003772,movie,Cinderella,Cinderella,0,1914,\N,52,"Drama,Fantasy",6.0,1086
tt0003930,movie,Fantomas: The Mysterious Finger Print,Fantômas contre Fantômas,0,1914,\N,59,"Crime,Drama",6.8,1439
tt0003952,movie,Fantômas: The False Magistrate,Le faux magistrat,0,1914,\N,70,"Crime,Drama",6.7,1211
tt0004026,movie,The Golem,Der Golem,0,1914,\N,60,Horror,6.7,1247
tt0004181,movie,Judith of Bethulia,Judith of Bethulia,0,1914,\N,61,Drama,6.2,1452
tt0004465,movie,The Perils of Pauline,The Perils of Pauline,0,1914,\N,199,"Action,Adventure,Drama",6.3,1092
tt0004635,movie,The Squaw Man,The Squaw Man,0,1914,\N,74,"Action,Drama,Romance",5.7,1055
tt0004707,movie,Tillie's Punctured Romance,Tillie's Punctured Romance,0,1914,\N,82,Comedy,6.3,3742
tt0004972,movie,The Birth of a Nation,The Birth of a Nation,0,1915,\N,195,"Drama,History,War",6.1,26449
tt0005060,movie,Carmen,Carmen,0,1915,\N,59,Drama,6.3,1089
tt0005078,movie,The Cheat,The Cheat,0,1915,\N,59,"Drama,Romance",6.5,2828
tt0005339,movie,A Fool There Was,A Fool There Was,0,1915,\N,67,Drama,5.7,1049
tt0005916,movie,After Death,Posle smerti,0,1915,\N,46,"Drama,Horror",6.8,1030
tt0005960,movie,The Regeneration,The Regeneration,0,1915,\N,72,"Biography,Crime,Drama",6.8,1439
tt0006206,movie,Les vampires,Les vampires,0,1915,\N,421,"Action,Adventure,Crime",7.3,5459
tt0006333,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1916,\N,105,"Action,Adventure,Sci-Fi",6.1,2013
tt0006780,movie,Hell's Hinges,Hell's Hinges,0,1916,\N,64,"Romance,Western",6.7,1090
tt0006864,movie,Intolerance,Intolerance: Love's Struggle Throughout the Ages,0,1916,\N,163,"Drama,History",7.7,16795
tt0006886,movie,Judex,Judex,0,1916,\N,300,"Adventure,Crime",7.2,1136
tt0008443,movie,The Poor Little Rich Girl,The Poor Little Rich Girl,0,1917,\N,78,"Comedy,Drama,Family",6.7,1556
tt0008663,movie,A Man There Was,Terje Vigen,0,1917,\N,65,"Drama,War",7.3,2346
tt0008879,movie,The Outlaw and His Wife,Berg-Ejvind och hans hustru,0,1918,\N,72,Drama,7.2,2103
tt0008891,movie,The Blue Bird,The Blue Bird,0,1918,\N,75,"Family,Fantasy",6.9,1022
tt0009150,movie,Hearts of the World,Hearts of the World,0,1918,\N,117,"Drama,War",6.6,1112
tt0009369,movie,Mickey,Mickey,0,1918,\N,93,"Comedy,Drama",6.1,1183
tt0009652,movie,Stella Maris,Stella Maris,0,1918,\N,84,Drama,6.9,1589
tt0009878,movie,Different from the Others,Anders als die Andern,0,1919,\N,50,"Crime,Drama,History",7.0,1510
tt0009892,movie,Auction of Souls,Ravished Armenia,0,1919,\N,80,"Drama,History,Romance",5.5,1244
tt0009893,movie,The Oyster Princess,Die Austernprinzessin,0,1919,\N,60,Comedy,7.2,2181
tt0009937,movie,Blind Husbands,Blind Husbands,0,1919,\N,102,"Drama,Romance",6.9,1703
tt0009968,movie,Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,0,1919,\N,90,"Drama,Romance",7.2,11107
tt0010040,movie,Daddy-Long-Legs,Daddy-Long-Legs,0,1919,\N,85,"Comedy,Drama",6.6,1481
tt0010071,movie,Don't Change Your Husband,Don't Change Your Husband,0,1919,\N,71,Comedy,6.6,1277
tt0010247,movie,Sir Arne's Treasure,Herr Arnes pengar,0,1919,\N,122,"Drama,History",7.1,1567
tt0010267,movie,The Hoodlum,The Hoodlum,0,1919,\N,78,Comedy,6.7,1046
tt0010281,movie,I Don't Want to Be a Man,Ich möchte kein Mann sein,0,1918,\N,45,"Comedy,Romance",6.8,1657
tt0010307,movie,J'accuse!,J'accuse,0,1919,\N,166,"Drama,Horror,War",7.7,2080
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,67,"Horror,Mystery,Thriller",8.0,70460
tt0010418,movie,Male and Female,Male and Female,0,1919,\N,116,"Adventure,Drama",7.0,1980
tt0010598,movie,The President,Præsidenten,0,1919,\N,85,Drama,6.6,1062
tt0010600,movie,The Doll,Die Puppe,0,1919,\N,66,"Comedy,Fantasy,Sci-Fi",7.4,2380
tt0010726,movie,The Spiders - Episode 1: The Golden Sea,"Die Spinnen, 1. Teil - Der Goldene See",0,1919,\N,130,"Adventure,Western",6.5,1458
tt0010806,movie,True Heart Susie,True Heart Susie,0,1919,\N,87,"Comedy,Drama,Romance",6.9,2004
tt0011000,movie,Leaves From Satan's Book,Blade af Satans bog,0,1920,\N,167,Drama,6.6,1360
tt0011130,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,0,1920,\N,69,"Drama,Horror,Sci-Fi",6.9,6075
tt0011157,movie,Erotikon,Erotikon,0,1920,\N,106,"Comedy,Romance",6.4,1052
tt0011221,movie,Genuine: The Tragedy of a Vampire,Genuine,0,1920,\N,88,Horror,5.9,1139
tt0011237,movie,The Golem,"Der Golem, wie er in die Welt kam",0,1920,\N,91,"Fantasy,Horror",7.2,8588
tt0011387,movie,The Last of the Mohicans,The Last of the Mohicans,0,1920,\N,73,"Action,Adventure,Drama",6.7,1448
tt0011439,movie,The Mark of Zorro,The Mark of Zorro,0,1920,\N,79,"Adventure,Romance,Western",7.1,2807
tt0011565,movie,The Penalty,The Penalty,0,1920,\N,90,"Crime,Drama,Thriller",7.4,2646
tt0011607,movie,The Parson's Widow,Prästänkan,0,1920,\N,94,"Comedy,Drama,Horror",7.1,1526
tt0011652,movie,The Saphead,The Saphead,0,1920,\N,77,"Comedy,Drama,Romance",6.1,1771
tt0011723,movie,The Spiders - Episode 2: The Diamond Ship,"Die Spinnen, 2. Teil - Das Brillantenschiff",0,1920,\N,104,Adventure,6.1,1103
tt0011841,movie,Way Down East,Way Down East,0,1920,\N,145,"Drama,Romance",7.3,5921
tt0011865,movie,Why Change Your Wife?,Why Change Your Wife?,0,1920,\N,90,"Comedy,Drama",6.7,1498
tt0011870,movie,Within Our Gates,Within Our Gates,0,1920,\N,79,"Drama,Romance",6.4,3655
tt0011904,movie,The Ace of Hearts,The Ace of Hearts,0,1921,\N,75,"Crime,Drama,Mystery",6.8,1328
tt0011909,movie,The Affairs of Anatol,The Affairs of Anatol,0,1921,\N,117,"Comedy,Drama",6.6,1362
tt0011960,movie,The Wildcat,Die Bergkatze,0,1921,\N,79,"Comedy,Drama,Romance",6.9,1324
tt0012027,movie,Camille,Camille,0,1921,\N,72,"Drama,Romance",6.5,1068
tt0012190,movie,The Four Horsemen of the Apocalypse,The Four Horsemen of the Apocalypse,0,1921,\N,150,"Drama,Romance,War",7.1,3559
tt0012349,movie,The Kid,The Kid,0,1921,\N,68,"Comedy,Drama,Family",8.2,135525
tt0012364,movie,The Phantom Carriage,Körkarlen,0,1921,\N,107,"Drama,Fantasy,Horror",8.0,14193
tt0012494,movie,Destiny,Der müde Tod,0,1921,\N,114,"Drama,Fantasy,Horror",7.6,6733
tt0012532,movie,Orphans of the Storm,Orphans of the Storm,0,1921,\N,150,"Drama,History,Romance",7.3,5497
tt0012642,movie,A Sailor-Made Man,A Sailor-Made Man,0,1921,\N,47,"Action,Adventure,Comedy",6.8,1253
tt0012651,movie,The Haunted Castle,Schloß Vogelöd,0,1921,\N,69,"Crime,Drama,Mystery",6.1,2075
tt0012675,movie,The Sheik,The Sheik,0,1921,\N,86,"Adventure,Drama,Romance",6.2,3690
tt0012752,movie,The Three Musketeers,The Three Musketeers,0,1921,\N,119,"Action,Adventure,Family",6.9,1155
tt0012763,movie,Tol'able David,Tol'able David,0,1921,\N,99,Drama,7.1,1951
tt0012938,movie,Beyond the Rocks,Beyond the Rocks,0,1922,\N,80,"Drama,Romance",6.7,2408
tt0012952,movie,Blood and Sand,Blood and Sand,0,1922,\N,108,"Drama,Romance,Sport",6.3,1544
tt0013075,movie,Dr. Jack,Dr. Jack,0,1922,\N,60,"Comedy,Romance",7.1,1687
tt0013086,movie,"Dr. Mabuse, the Gambler","Dr. Mabuse, der Spieler",0,1922,\N,242,"Crime,Mystery,Thriller",7.8,9223
tt0013140,movie,Foolish Wives,Foolish Wives,0,1922,\N,117,"Drama,Thriller",7.0,4054
tt0013201,movie,Grandma's Boy,Grandma's Boy,0,1922,\N,60,"Comedy,Family",7.0,2065
tt0013257,movie,Häxan,Häxan,0,1922,\N,91,"Documentary,Fantasy,Horror",7.6,16876
tt0013427,movie,Nanook of the North,Nanook of the North,0,1922,\N,78,Documentary,7.6,13527
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,\N,94,"Fantasy,Horror",7.9,106019
tt0013496,movie,Phantom,Phantom,0,1922,\N,125,"Drama,Romance",6.7,1962
tt0013556,movie,Robin Hood,Robin Hood,0,1922,\N,143,"Adventure,Family,Romance",7.0,2503
tt0013571,movie,Salomé,Salomé,0,1922,\N,72,"Biography,Drama,History",6.6,1173
tt0013579,movie,Warning Shadows,Schatten - Eine nächtliche Halluzination,0,1923,\N,90,"Drama,Fantasy,Horror",6.6,1129
tt0013750,movie,When Knighthood Was in Flower,When Knighthood Was in Flower,0,1922,\N,120,"Drama,Romance",6.6,1141
tt0013933,movie,The Faithful Heart,Coeur fidèle,0,1923,\N,87,"Drama,Romance",7.4,1459
tt0014029,movie,The Extra Girl,The Extra Girl,0,1923,\N,68,"Comedy,Romance",6.7,1213
tt0014109,movie,The Saga of Gösta Berling,Gösta Berlings saga,0,1924,\N,183,"Drama,Romance",7.0,1385
tt0014142,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1923,\N,133,"Drama,Horror,Romance",7.2,6145
tt0014205,movie,Little Old New York,Little Old New York,0,1923,\N,110,"Comedy,Romance",6.4,1091
tt0014341,movie,Our Hospitality,Our Hospitality,0,1923,\N,65,"Comedy,Romance,Thriller",7.8,12548
tt0014358,movie,The Pilgrim,The Pilgrim,0,1923,\N,47,"Comedy,Western",7.2,5718
tt0014417,movie,The Wheel,La roue,0,1923,\N,417,Drama,7.5,2577
tt0014429,movie,Safety Last!,Safety Last!,0,1923,\N,74,"Action,Comedy,Thriller",8.1,23066
tt0014497,movie,Souls for Sale,Souls for Sale,0,1923,\N,90,"Comedy,Drama,Romance",7.0,1113
tt0014532,movie,The Ten Commandments,The Ten Commandments,0,1923,\N,136,"Biography,Drama,History",6.8,2682
tt0014538,movie,Three Ages,Three Ages,0,1923,\N,63,Comedy,7.0,5239
tt0014586,movie,Waxworks,Das Wachsfigurenkabinett,0,1924,\N,107,"Fantasy,Horror",6.6,2328
tt0014611,movie,Why Worry?,Why Worry?,0,1923,\N,63,"Adventure,Comedy,Family",7.3,2075
tt0014624,movie,A Woman of Paris: A Drama of Fate,A Woman of Paris: A Drama of Fate,0,1923,\N,82,"Drama,Romance",6.9,6234
tt0014646,movie,"Aelita, the Queen of Mars",Aelita,0,1924,\N,111,"Adventure,Comedy,Drama",6.4,2904
tt0014945,movie,Girl Shy,Girl Shy,0,1924,\N,87,"Comedy,Romance",7.7,3684
tt0014972,movie,He Who Gets Slapped,He Who Gets Slapped,0,1924,\N,95,"Drama,Romance,Thriller",7.8,4337
tt0015002,movie,Hot Water,Hot Water,0,1924,\N,53,Comedy,7.1,1569
tt0015014,movie,L'inhumaine,L'inhumaine,0,1924,\N,135,"Drama,Mystery,Romance",7.2,1050
tt0015016,movie,The Iron Horse,The Iron Horse,0,1924,\N,150,"Drama,History,Romance",7.2,2466
tt0015039,movie,Kino Eye,Kinoglaz,0,1924,\N,78,Documentary,6.9,1205
tt0015064,movie,The Last Laugh,Der letzte Mann,0,1924,\N,90,Drama,8.0,15278
tt0015116,movie,Manhandled,Manhandled,0,1924,\N,75,"Comedy,Drama",6.7,1149
tt0015119,movie,The Marriage Circle,The Marriage Circle,0,1924,\N,85,Comedy,7.0,1516
tt0015136,movie,Michael,Michael,0,1924,\N,93,"Drama,Romance",7.1,2056
tt0015163,movie,The Navigator,The Navigator,0,1924,\N,59,"Action,Adventure,Comedy",7.5,11118
tt0015167,movie,The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,Neobychainye priklyucheniya mistera Vesta v strane bolshevikov,0,1924,\N,94,"Comedy,Fantasy,Romance",6.5,1123
tt0015174,movie,Die Nibelungen: Kriemhild's Revenge,Die Nibelungen: Kriemhilds Rache,0,1924,\N,129,"Adventure,Drama,Fantasy",7.9,5031
tt0015175,movie,Die Nibelungen: Siegfried,Die Nibelungen: Siegfried,0,1924,\N,100,"Adventure,Drama,Fantasy",8.1,6597
tt0015202,movie,The Hands of Orlac,Orlacs Hände,0,1924,\N,92,"Crime,Horror,Mystery",7.0,3413
