tconst,averageRating,numVotes
tt0002130,7.0,3516
tt0002423,6.6,1015
tt0002844,6.9,2507
tt0003014,7.0,1441
tt0003037,6.9,1697
tt0003165,6.9,1342
tt0003419,6.4,2424
tt0003643,6.4,1436
tt0003740,7.1,3985
tt0003772,6.0,1086
tt0003930,6.8,1439
tt0003952,6.7,1211
tt0004026,6.7,1247
tt0004181,6.2,1452
tt0004465,6.3,1092
tt0004635,5.7,1055
tt0004707,6.3,3742
tt0004972,6.1,26449
tt0005060,6.3,1089
tt0005078,6.5,2828
tt0005339,5.7,1049
tt0005916,6.8,1030
tt0005960,6.8,1439
tt0006206,7.3,5459
tt0006333,6.1,2013
tt0006780,6.7,1090
tt0006864,7.7,16795
tt0006886,7.2,1136
tt0008443,6.7,1556
tt0008663,7.3,2346
tt0008879,7.2,2103
tt0008891,6.9,1022
tt0009150,6.6,1112
tt0009369,6.1,1183
tt0009652,6.9,1589
tt0009878,7.0,1510
tt0009892,5.5,1244
tt0009893,7.2,2181
tt0009937,6.9,1703
tt0009968,7.2,11107
tt0010040,6.6,1481
tt0010071,6.6,1277
tt0010247,7.1,1567
tt0010267,6.7,1046
tt0010281,6.8,1657
tt0010307,7.7,2080
tt0010323,8.0,70460
tt0010418,7.0,1980
tt0010598,6.6,1062
tt0010600,7.4,2380
tt0010726,6.5,1458
tt0010806,6.9,2004
tt0011000,6.6,1360
tt0011130,6.9,6075
tt0011157,6.4,1052
tt0011221,5.9,1139
tt0011237,7.2,8588
tt0011387,6.7,1448
tt0011439,7.1,2807
tt0011565,7.4,2646
tt0011607,7.1,1526
tt0011652,6.1,1771
tt0011723,6.1,1103
tt0011841,7.3,5921
tt0011865,6.7,1498
tt0011870,6.4,3655
tt0011904,6.8,1328
tt0011909,6.6,1362
tt0011960,6.9,1324
tt0012027,6.5,1068
tt0012190,7.1,3559
tt0012349,8.2,135525
tt0012364,8.0,14193
tt0012494,7.6,6733
tt0012532,7.3,5497
tt0012642,6.8,1253
tt0012651,6.1,2075
tt0012675,6.2,3690
tt0012752,6.9,1155
tt0012763,7.1,1951
tt0012938,6.7,2408
tt0012952,6.3,1544
tt0013075,7.1,1687
tt0013086,7.8,9223
tt0013140,7.0,4054
tt0013201,7.0,2065
tt0013257,7.6,16876
tt0013427,7.6,13527
tt0013442,7.9,106019
tt0013496,6.7,1962
tt0013556,7.0,2503
tt0013571,6.6,1173
tt0013579,6.6,1129
tt0013750,6.6,1141
tt0013933,7.4,1459
tt0014029,6.7,1213
tt0014109,7.0,1385
tt0014142,7.2,6145
tt0014205,6.4,1091
tt0014341,7.8,12548
tt0014358,7.2,5718
tt0014417,7.5,2577
tt0014429,8.1,23066
tt0014497,7.0,1113
tt0014532,6.8,2682
tt0014538,7.0,5239
tt0014586,6.6,2328
tt0014611,7.3,2075
tt0014624,6.9,6234
tt0014646,6.4,2904
tt0014945,7.7,3684
tt0014972,7.8,4337
tt0015002,7.1,1569
tt0015014,7.2,1050
tt0015016,7.2,2466
tt0015039,6.9,1205
tt0015064,8.0,15278
tt0015116,6.7,1149
tt0015119,7.0,1516
tt0015136,7.1,2056
tt0015163,7.5,11118
tt0015167,6.5,1123
tt0015174,7.9,5031
tt0015175,8.1,6597
tt0015202,7.0,3413
tt0015214,7.1,1981
tt0015224,7.1,1275
tt0015324,8.2,57586
tt0015361,7.6,8676
tt0015400,7.7,7028
tt0015532,7.8,6937
tt0015624,7.9,7328
tt0015634,6.2,1199
tt0015648,7.9,61666
tt0015768,7.0,2390
tt0015772,6.6,2286
tt0015841,7.5,6101
tt0015842,7.1,1726
tt0015863,7.1,5042
tt0015864,8.1,119224
tt0015873,7.7,1206
tt0015881,8.0,10819
tt0016004,7.2,1366
tt0016028,6.8,1070
tt0016029,7.0,1901
tt0016039,7.0,5871
tt0016104,7.2,2594
tt0016123,6.2,1376
tt0016220,7.5,20203
tt0016230,5.8,2905
tt0016332,7.8,11807
tt0016394,6.8,1071
tt0016473,7.2,2230
tt0016481,7.4,1408
tt0016544,4.9,1757
tt0016627,7.1,1318
tt0016630,7.0,3918
tt0016641,7.8,8000
tt0016654,7.0,2158
tt0016669,7.2,1693
tt0016690,6.2,1535
tt0016822,7.0,1089
tt0016847,8.1,16723
tt0016884,7.6,4650
tt0016895,7.5,1979
tt0017048,7.4,4620
tt0017075,7.3,13484
tt0017128,7.4,3082
tt0017136,8.3,186452
tt0017271,7.6,1232
tt0017350,7.6,1953
tt0017416,6.6,2141
tt0017423,7.3,1537
tt0017448,7.1,2727
tt0017449,6.9,1352
tt0017463,7.5,1507
tt0017534,6.6,1977
tt0017668,7.6,4813
tt0017739,7.1,3414
tt0017743,6.8,1127
tt0017765,6.9,5500
tt0017825,6.0,3094
tt0017843,5.5,3081
tt0017925,8.1,98659
tt0017961,7.3,1201
tt0018033,7.2,3606
tt0018037,6.4,11142
tt0018051,7.6,4853
tt0018054,7.4,2437
tt0018066,7.3,1868
tt0018097,6.6,1476
tt0018107,6.8,1190
tt0018192,8.2,8868
tt0018217,7.4,8494
tt0018311,6.8,1522
tt0018328,6.1,3963
tt0018379,7.6,4200
tt0018440,6.5,1081
tt0018451,7.6,1676
tt0018455,8.1,54034
tt0018471,7.1,1624
tt0018505,7.3,1340
tt0018515,6.7,1151
tt0018526,7.5,3517
tt0018528,7.7,9240
tt0018578,7.5,14648
tt0018618,6.2,1190
tt0018684,7.4,1333
tt0018737,7.8,11921
tt0018742,8.0,13279
tt0018756,5.4,2700
tt0018770,7.3,4538
tt0018773,8.1,36233
tt0018806,8.1,9245
tt0018839,7.5,5074
tt0018876,5.8,3146
tt0019071,8.0,4559
tt0019074,7.5,2160
tt0019109,7.7,2625
tt0019130,7.6,8148
tt0019195,7.2,1468
tt0019237,6.7,1979
tt0019254,8.1,61120
tt0019258,7.5,2791
tt0019286,7.0,2321
tt0019304,6.6,1601
tt0019344,7.2,2835
tt0019379,7.6,4019
tt0019400,6.3,1075
tt0019412,7.6,4323
tt0019415,7.5,3970
tt0019421,7.8,16261
tt0019429,7.3,2583
tt0019558,7.4,1910
tt0019563,7.2,1969
tt0019585,8.0,7203
tt0019591,7.1,1702
tt0019611,7.1,1175
tt0019644,7.1,1508
tt0019646,7.5,1159
tt0019649,7.1,2347
tt0019655,7.4,1695
tt0019702,6.9,12075
tt0019729,5.6,8067
tt0019735,6.3,1339
tt0019760,8.3,28154
tt0019777,6.8,8243
tt0019788,5.5,2323
tt0019811,6.7,1248
tt0019823,6.1,1388
tt0019901,7.3,3883
tt0019946,6.0,1010
tt0019959,6.7,2008
tt0019993,5.7,2267
tt0020018,5.5,1305
tt0020030,7.0,1402
tt0020062,6.8,1247
tt0020112,7.0,2639
tt0020122,7.7,1529
tt0020142,6.2,3297
tt0020143,6.1,1277
tt0020163,7.3,3565
tt0020269,7.1,1851
tt0020286,6.5,1018
tt0020298,7.1,3373
tt0020442,6.9,2518
tt0020451,7.2,1736
tt0020475,7.8,4841
tt0020514,6.5,1445
tt0020570,7.3,1112
tt0020620,5.6,1719
tt0020629,8.1,67995
tt0020640,7.4,15347
tt0020641,6.6,3521
tt0020668,6.3,1160
tt0020686,7.1,2608
tt0020691,7.2,4497
tt0020697,7.7,16365
tt0020768,7.7,3760
tt0020793,7.6,1241
tt0020815,7.1,2045
tt0020827,6.7,3674
tt0020836,6.5,1333
tt0020876,6.7,1201
tt0020891,6.0,1387
tt0020902,5.5,1030
tt0020960,7.3,6004
tt0021015,4.6,2546
tt0021025,6.7,1637
tt0021040,6.7,1406
tt0021079,7.2,14627
tt0021106,6.3,1256
tt0021128,5.7,1003
tt0021148,6.7,1904
tt0021153,6.7,1438
tt0021156,7.0,7533
tt0021165,6.3,7016
tt0021189,5.8,1152
tt0021281,6.4,1128
tt0021309,7.6,1561
tt0021310,5.7,1036
tt0021331,7.3,7419
tt0021375,6.8,1059
tt0021409,7.1,2498
tt0021505,6.7,1420
tt0021508,5.9,1381
tt0021542,7.3,2447
tt0021549,6.4,1207
tt0021571,7.2,6448
tt0021577,7.2,14870
tt0021622,6.2,2012
tt0021633,6.4,1239
tt0021635,6.4,1618
tt0021636,6.1,1513
tt0021668,6.7,1669
tt0021673,7.1,2341
tt0021730,7.2,3649
tt0021739,7.5,4878
tt0021746,5.8,6991
tt0021749,8.5,197020
tt0021750,7.0,1892
tt0021770,6.9,1402
tt0021778,6.3,1279
tt0021800,7.2,3218
tt0021814,7.4,58973
tt0021815,7.0,5124
tt0021818,7.2,2554
tt0021873,7.3,2552
tt0021874,6.4,1446
tt0021884,7.8,80159
tt0021885,6.6,2945
tt0021890,6.7,3494
tt0021985,7.7,1762
tt0021992,6.1,1170
tt0022000,6.2,1555
tt0022017,7.5,1767
tt0022054,6.9,1396
tt0022074,7.1,4139
tt0022080,7.0,2911
tt0022100,8.3,169393
tt0022111,6.8,3362
tt0022119,6.1,1092
tt0022125,7.8,2591
tt0022150,7.3,3854
tt0022153,7.2,2275
tt0022158,7.4,14320
tt0022183,7.6,3797
tt0022208,7.0,4522
tt0022236,6.4,1399
tt0022251,6.8,2837
tt0022254,6.1,1016
tt0022264,6.5,1412
tt0022268,6.8,3474
tt0022276,6.9,2366
tt0022279,6.7,1365
tt0022286,7.6,23186
tt0022335,6.9,2060
tt0022357,6.3,1054
tt0022386,6.6,1138
