tconst,directors,writers
tt0002130,"nm0078205,nm0655824,nm0209738",nm0019604
tt0002423,nm0523932,"nm0266183,nm0473134"
tt0002844,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0003014,nm0803705,"nm0472236,nm0803705"
tt0003037,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0003165,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0003419,"nm0263912,nm0753233","nm0263912,nm0210503"
tt0003643,nm0000428,"nm0000590,nm0000428"
tt0003740,nm0665163,"nm0195339,nm0515385,nm0665163,nm0758215"
tt0003772,nm0456804,nm0674518
tt0003930,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0003952,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0004026,"nm0917467,nm0301961","nm0917467,nm0301961"
tt0004181,nm0000428,"nm0017701,nm0000428,nm1106102,nm0940488"
tt0004465,"nm0309163,nm0533289","nm0323766,nm0225458,nm0782707,nm0589616"
tt0004635,"nm0002177,nm0001124","nm0747409,nm0001124,nm0002177"
tt0004707,"nm0784407,nm0071658","nm0215874,nm0404327,nm0784407,nm1100197,nm0808086"
tt0004972,nm0000428,"nm0228746,nm0000428,nm0940488,nm0934306,nm16280870,nm16280871"
tt0005060,nm0001124,"nm0617737,nm0210352"
tt0005078,nm0001124,"nm0877318,nm0534221"
tt0005339,nm0288616,"nm0115063,nm0456017,nm0564946"
tt0005916,nm0061955,"nm0061955,nm0877057"
tt0005960,nm0909825,"nm0452976,nm0909825,nm0361882,nm0352506"
tt0006206,nm0275421,nm0275421
tt0006333,nm0665737,"nm0894523,nm0665737"
tt0006780,"nm0842521,nm0366586,nm0807742",nm0837989
tt0006864,nm0000428,"nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488"
tt0006886,nm0275421,"nm0077220,nm0275421"
tt0008443,nm0869665,"nm0309557,nm0547966"
tt0008663,nm0803705,"nm0406585,nm0596410,nm0803705"
tt0008879,nm0803705,"nm0803705,nm0039377,nm2642082"
tt0008891,nm0869665,"nm0535508,nm0537510"
tt0009150,nm0000428,nm0000428
tt0009369,"nm0428059,nm0949648","nm0215874,nm0370271"
tt0009652,nm0624714,"nm0516810,nm0547966"
tt0009878,nm0652650,"nm0386589,nm0652650"
tt0009892,nm0002177,"nm0546295,nm0309568,nm0152165"
tt0009893,nm0523932,"nm0473134,nm0523932"
tt0009937,nm0002233,"nm0002233,nm0239769"
tt0009968,nm0000428,"nm0121885,nm0000428"
tt0010040,nm0624714,"nm0916914,nm0426515"
tt0010071,nm0001124,nm0534221
tt0010247,nm0830249,"nm0481248,nm0596410,nm0830249"
tt0010267,nm0291548,"nm0513680,nm0566338"
